"","nameTeam","namePlayer","number of games","stat","mean","standard deviation","median","trimmed","mad","min","max","range","skew","kurtosis","se","get this number or more"
"1757","Orlando Magic","Nikola Vucevic",14,"threes",2.6429,1.3927,2.5,2.5,0.7413,1,6,5,0.7577,-0.0302,0.3722,1.2502
"1758","Toronto Raptors","Norman Powell",13,"threes",2,1.7321,2,1.8182,1.4826,0,6,6,0.8882,-0.2308,0.4804,0.2679
"1759","Toronto Raptors","OG Anunoby",13,"threes",2.0769,1.4979,2,2.0909,1.4826,0,4,4,-0.1195,-1.4772,0.4154,0.579
"1760","New York Knicks","Obi Toppin",5,"threes",1,1.4142,0,1,0,0,3,3,0.4243,-2,0.6325,-0.4142
"1761","Atlanta Hawks","Onyeka Okongwu",1,"threes",0,NA,0,0,0,0,0,0,NA,NA,NA,NA
"1762","Chicago Bulls","Otto Porter Jr.",12,"threes",1.8333,1.6422,1.5,1.7,2.2239,0,5,5,0.4683,-1.1481,0.4741,0.1911
"1763","Houston Rockets","P.J. Tucker",12,"threes",1.25,1.5448,1,1,1.4826,0,5,5,1.1105,0.2191,0.4459,-0.2948
"1764","Charlotte Hornets","P.J. Washington",14,"threes",1.2143,0.6993,1,1.25,0.7413,0,2,2,-0.2558,-1.1276,0.1869,0.515
"1765","Denver Nuggets","PJ Dozier",14,"threes",0.9286,0.9972,1,0.8333,1.4826,0,3,3,0.56,-1.0627,0.2665,-0.0686
"1766","Toronto Raptors","Pascal Siakam",12,"threes",1.25,1.3568,1,1.1,1.4826,0,4,4,0.588,-1.0394,0.3917,-0.1068
"1767","Milwaukee Bucks","Pat Connaughton",11,"threes",1.7273,1.4206,2,1.6667,1.4826,0,4,4,0.055,-1.6201,0.4283,0.3067
"1768","LA Clippers","Patrick Beverley",13,"threes",2,1.5811,2,1.8182,1.4826,0,6,6,1.1676,0.6185,0.4385,0.4189
"1769","LA Clippers","Patrick Patterson",6,"threes",1,1.0954,1,1,0.7413,0,3,3,0.7607,-0.9167,0.4472,-0.0953999999999999
"1770","Chicago Bulls","Patrick Williams",13,"threes",1.0769,0.9541,1,1,1.4826,0,3,3,0.3962,-1.0285,0.2646,0.1228
"1771","San Antonio Spurs","Patty Mills",14,"threes",3.0714,1.9793,2,2.8333,1.4826,1,8,7,1.0693,0.1474,0.529,1.0921
"1772","LA Clippers","Paul George",13,"threes",4.0769,1.801,5,4.1818,1.4826,0,7,7,-0.7372,-0.1423,0.4995,2.2759
"1773","Denver Nuggets","Paul Millsap",14,"threes",1.4286,1.2225,1.5,1.3333,0.7413,0,4,4,0.3878,-0.8537,0.3267,0.2061
"1774","Philadelphia 76ers","Paul Reed",4,"threes",0,0,0,0,0,0,0,0,NA,NA,0,0
"1775","Toronto Raptors","Paul Watson",4,"threes",0.25,0.5,0,0.25,0,0,1,1,0.75,-1.6875,0.25,-0.25
"1776","Boston Celtics","Payton Pritchard",12,"threes",1.3333,1.3707,1,1.2,1.4826,0,4,4,0.6112,-1.1376,0.3957,-0.0374000000000001
