"","nameTeam","namePlayer","number of games","stat","mean","standard deviation","median","trimmed","mad","min","max","range","skew","kurtosis","se","get this number or more"
"1","Orlando Magic","Aaron Gordon",13,"points",14.9231,5.6489,15,15.0909,4.4478,4,24,20,-0.4082,-0.748,1.5667,9.2742
"2","Indiana Pacers","Aaron Holiday",13,"points",5.9231,4.2123,6,5.5455,2.9652,0,16,16,0.9511,0.251,1.1683,1.7108
"3","Boston Celtics","Aaron Nesmith",5,"points",2.6,2.51,3,2.6,2.9652,0,5,5,-0.0941,-2.205,1.1225,0.0900000000000003
"4","Phoenix Suns","Abdel Nader",1,"points",2,NA,2,2,0,2,2,0,NA,NA,NA,NA
"5","Chicago Bulls","Adam Mokoka",6,"points",1.8333,2.0412,1.5,1.8333,2.2239,0,4,4,0.0675,-2.2337,0.8333,-0.2079
"6","Oklahoma City Thunder","Al Horford",9,"points",11.1111,6.4118,11,11.1111,5.9304,2,22,20,0.0984,-1.2378,2.1373,4.6993
"7","New York Knicks","Alec Burks",3,"points",20.6667,2.3094,22,20.6667,0,18,22,4,-0.3849,-2.3333,1.3333,18.3573
"8","Oklahoma City Thunder","Aleksej Pokusevski",11,"points",3.0909,3.2697,3,2.6667,4.4478,0,10,10,0.7226,-0.6992,0.9859,-0.1788
"9","Los Angeles Lakers","Alex Caruso",10,"points",5.8,2.9364,6.5,6.125,2.9652,0,9,9,-0.6294,-0.9933,0.9286,2.8636
"10","Toronto Raptors","Alex Len",7,"points",2.2857,3.9461,1,2.2857,1.4826,0,11,11,1.4502,0.4475,1.4915,-1.6604
"11","Los Angeles Lakers","Alfonzo McKinnie",9,"points",2.3333,2.7839,2,2.3333,2.9652,0,8,8,0.7759,-0.7789,0.928,-0.4506
"12","LA Clippers","Amir Coffey",10,"points",1.9,2.4698,0.5,1.625,0.7413,0,6,6,0.6205,-1.5673,0.781,-0.5698
"13","Cleveland Cavaliers","Andre Drummond",12,"points",19.25,6.8374,19,18.8,7.413,10,33,23,0.3147,-0.9386,1.9738,12.4126
"14","Miami Heat","Andre Iguodala",11,"points",3.9091,3.4192,3,3.7778,4.4478,0,9,9,0.2613,-1.5573,1.0309,0.4899
"15","Golden State Warriors","Andrew Wiggins",13,"points",17.7692,3.9823,17,17.4545,2.9652,12,27,15,0.6832,-0.1226,1.1045,13.7869
"16","Portland Trail Blazers","Anfernee Simons",11,"points",4.1818,3.8423,5,3.8889,4.4478,0,11,11,0.1817,-1.4634,1.1585,0.3395
"17","Los Angeles Lakers","Anthony Davis",13,"points",21.3077,5.8933,19,20.9091,2.9652,13,34,21,0.6528,-0.7318,1.6345,15.4144
"18","Minnesota Timberwolves","Anthony Edwards",12,"points",12.5,7.23,14,12.4,3.7065,0,26,26,-0.1693,-0.7312,2.0871,5.27
"19","Washington Wizards","Anthony Gill",4,"points",1.75,2.0616,1.5,1.75,2.2239,0,4,4,0.0749,-2.3519,1.0308,-0.3116
"20","Washington Wizards","Anzejs Pasecniks",1,"points",0,NA,0,0,0,0,0,0,NA,NA,NA,NA
"21","Toronto Raptors","Aron Baynes",10,"points",3.9,4.9318,2,3.25,2.9652,0,13,13,0.7742,-1.2025,1.5596,-1.0318
"22","New York Knicks","Austin Rivers",11,"points",8.7273,6.7096,8,8.1111,7.413,0,23,23,0.5922,-0.6021,2.023,2.0177
"23","Miami Heat","Avery Bradley",7,"points",10,5.9161,12,10,5.9304,0,16,16,-0.4967,-1.5033,2.2361,4.0839
"24","Miami Heat","Bam Adebayo",10,"points",19.5,6.4507,19.5,19.75,7.413,9,28,19,-0.1028,-1.4313,2.0399,13.0493
"25","Houston Rockets","Ben McLemore",6,"points",10.1667,6.8823,8.5,10.1667,6.6717,3,21,18,0.4124,-1.665,2.8097,3.2844
"26","Philadelphia 76ers","Ben Simmons",12,"points",12.25,3.4674,11.5,12.5,4.4478,5,17,12,-0.4205,-0.8175,1.0009,8.7826
"27","Charlotte Hornets","Bismack Biyombo",14,"points",7.5714,4.1826,7.5,7.3333,5.1891,2,16,14,0.3041,-1.1103,1.1179,3.3888
"28","Detroit Pistons","Blake Griffin",10,"points",12.9,5.7822,12.5,12.25,4.4478,5,26,21,0.8283,0.0735,1.8285,7.1178
"29","Dallas Mavericks","Boban Marjanovic",10,"points",4.2,3.8239,3,3.75,4.4478,0,12,12,0.6456,-0.8375,1.2092,0.3761
"30","Milwaukee Bucks","Bobby Portis",14,"points",10.9286,5.4556,11,10.9167,5.9304,2,20,18,-0.1038,-1.1571,1.4581,5.473
"31","Atlanta Hawks","Bogdan Bogdanovic",9,"points",9.8889,6.8455,7,9.8889,5.9304,2,22,20,0.4461,-1.4015,2.2818,3.0434
"32","Utah Jazz","Bojan Bogdanovic",14,"points",13.2857,7.8095,13,12.9167,10.3782,3,28,25,0.2721,-1.3404,2.0872,5.4762
"33","Denver Nuggets","Bol Bol",8,"points",1.75,2.0529,1,1.75,1.4826,0,5,5,0.3793,-1.7531,0.7258,-0.3029
"34","Golden State Warriors","Brad Wanamaker",13,"points",4.5385,3.4063,4,4.3636,2.9652,0,11,11,0.366,-1.1357,0.9447,1.1322
"35","Washington Wizards","Bradley Beal",10,"points",34.9,9.9716,31,32.75,4.4478,27,60,33,1.4884,1.1229,3.1533,24.9284
"36","Memphis Grizzlies","Brandon Clarke",13,"points",13.2308,4.6754,14,13.3636,4.4478,4,21,17,-0.1978,-0.8611,1.2967,8.5554
"37","Atlanta Hawks","Brandon Goodwin",11,"points",5.5455,4.156,5,5.1111,2.9652,0,15,15,0.8555,-0.1148,1.2531,1.3895
"38","New Orleans Pelicans","Brandon Ingram",13,"points",22.8462,5.5655,22,23,7.413,13,31,18,-0.018,-1.2263,1.5436,17.2807
"39","Indiana Pacers","Brian Bowen II",1,"points",3,NA,3,3,0,3,3,0,NA,NA,NA,NA
"40","Houston Rockets","Brodric Thomas",3,"points",1.6667,2.8868,0,1.6667,0,0,5,5,0.3849,-2.3333,1.6667,-1.2201
"41","Milwaukee Bucks","Brook Lopez",14,"points",9.7143,3.5394,8.5,9.4167,2.9652,6,17,11,0.7312,-0.9396,0.9459,6.1749
"42","Brooklyn Nets","Bruce Brown",11,"points",5.7273,5.5334,5,5.2222,4.4478,0,16,16,0.7318,-0.9355,1.6684,0.193899999999999
"43","Houston Rockets","Bruno Caboclo",6,"points",2.8333,2.7142,2.5,2.8333,3.7065,0,6,6,0.1454,-1.985,1.1081,0.1191
"44","Atlanta Hawks","Bruno Fernando",8,"points",1.75,2.1876,1,1.75,1.4826,0,5,5,0.5641,-1.5774,0.7734,-0.4376
"45","Milwaukee Bucks","Bryn Forbes",14,"points",7.5,5.5017,8,7.25,7.413,0,18,18,0.2664,-1.2737,1.4704,1.9983
"46","Sacramento Kings","Buddy Hield",14,"points",15.3571,5.2273,16,15.0833,5.1891,8,26,18,0.2949,-0.952,1.397,10.1298
"47","Portland Trail Blazers","CJ Elleby",6,"points",2.3333,1.3663,2.5,2.3333,0.7413,0,4,4,-0.4938,-1.193,0.5578,0.967
"48","Portland Trail Blazers","CJ McCollum",13,"points",26.6923,7.4429,26,26.0909,5.9304,16,44,28,0.8101,-0.0194,2.0643,19.2494
"49","Charlotte Hornets","Caleb Martin",13,"points",6.3077,4.6257,5,6.0909,4.4478,0,15,15,0.5227,-0.9449,1.2829,1.682
"50","Atlanta Hawks","Cam Reddish",11,"points",12.1818,6.2581,11,12.3333,5.9304,2,21,19,0.0528,-1.3794,1.8869,5.9237
"51","Phoenix Suns","Cameron Johnson",12,"points",12.1667,4.8586,10,12,5.1891,5,21,16,0.3256,-1.3326,1.4026,7.3081
"52","Phoenix Suns","Cameron Payne",10,"points",7.4,3.2387,7,7.375,2.9652,2,13,11,0.1533,-1.075,1.0242,4.1613
"53","Brooklyn Nets","Caris LeVert",12,"points",18.5,10.5615,20,17.3,13.3434,6,43,37,0.7669,-0.1751,3.0488,7.9385
"54","Portland Trail Blazers","Carmelo Anthony",13,"points",12.1538,4.3368,12,12.0909,4.4478,5,20,15,0.079,-0.9779,1.2028,7.817
"55","Boston Celtics","Carsen Edwards",4,"points",3.25,4.272,2,3.25,2.9652,0,9,9,0.3908,-2.0118,2.136,-1.022
"56","Indiana Pacers","Cassius Stanley",6,"points",1.5,1.2247,2,1.5,0.7413,0,3,3,-0.2722,-1.8611,0.5,0.2753
"57","Washington Wizards","Cassius Winston",1,"points",0,NA,0,0,0,0,0,0,NA,NA,NA,NA
"58","Cleveland Cavaliers","Cedi Osman",13,"points",13.0769,6.6516,14,12.9091,5.9304,3,25,22,0.1047,-1.1386,1.8448,6.4253
"59","Chicago Bulls","Chandler Hutchison",4,"points",3.25,2.5,2,3.25,0,2,7,5,0.75,-1.6875,1.25,0.75
"60","Sacramento Kings","Chimezie Metu",5,"points",5.8,3.0332,6,5.8,2.9652,2,10,8,0.1084,-1.7423,1.3565,2.7668
"61","Toronto Raptors","Chris Boucher",13,"points",16.0769,7.6753,20,16.7273,7.413,0,25,25,-0.5614,-1.0167,2.1287,8.4016
"62","Brooklyn Nets","Chris Chiozza",6,"points",4.3333,5.6095,2,4.3333,2.9652,0,14,14,0.7086,-1.3598,2.2901,-1.2762
"63","Phoenix Suns","Chris Paul",12,"points",13.5,4.6221,13,13.2,3.7065,8,22,14,0.5064,-1.036,1.3343,8.8779
"64","Miami Heat","Chris Silva",6,"points",3.8333,4.6224,2.5,3.8333,0.7413,0,13,13,1.182,-0.3349,1.8871,-0.7891
"65","Houston Rockets","Christian Wood",11,"points",23.8182,4.0204,23,23.6667,2.9652,18,31,13,0.4983,-1.0316,1.2122,19.7978
"66","Orlando Magic","Chuma Okeke",5,"points",3,2.1213,3,3,0,0,6,6,0,-1.4,0.9487,0.8787
"67","Atlanta Hawks","Clint Capela",11,"points",13.0909,6.3946,12,12.4444,7.413,7,25,18,0.627,-1.0748,1.928,6.6963
"68","Chicago Bulls","Coby White",14,"points",15.8571,8.5742,15,15.5,8.1543,0,36,36,0.4569,0.1579,2.2915,7.2829
"69","Charlotte Hornets","Cody Martin",11,"points",3.4545,2.4643,4,3.2222,1.4826,0,9,9,0.5416,0.0596,0.743,0.9902
"70","Charlotte Hornets","Cody Zeller",1,"points",6,NA,6,6,0,6,6,0,NA,NA,NA,NA
"71","Orlando Magic","Cole Anthony",14,"points",10.0714,4.3406,9,10.25,4.4478,2,16,14,-0.0345,-1.2693,1.1601,5.7308
"72","Cleveland Cavaliers","Collin Sexton",8,"points",25.125,4.0861,25.5,25.125,4.4478,20,32,12,0.2293,-1.4739,1.4447,21.0389
"73","Sacramento Kings","Cory Joseph",14,"points",6.4286,3.6944,7,6.25,2.2239,0,15,15,0.3383,0.0165,0.9874,2.7342
"74","Chicago Bulls","Cristiano Felicio",1,"points",0,NA,0,0,0,0,0,0,NA,NA,NA,NA
"75","Minnesota Timberwolves","D'Angelo Russell",12,"points",21.5833,8.0618,23.5,22.2,8.1543,4,33,29,-0.5552,-0.5031,2.3272,13.5215
"76","Milwaukee Bucks","D.J. Augustin",13,"points",5.7692,4.2062,6,5.6364,5.9304,0,13,13,0.1118,-1.3945,1.1666,1.563
"77","Milwaukee Bucks","D.J. Wilson",7,"points",4.2857,4.4615,3,4.2857,2.9652,0,12,12,0.6973,-1.3695,1.6863,-0.1758
"78","Philadelphia 76ers","Dakota Mathias",8,"points",6,5.3184,5.5,6,5.9304,0,14,14,0.2144,-1.7223,1.8803,0.6816
"79","Phoenix Suns","Damian Jones",5,"points",1.6,2.6077,0,1.6,0,0,6,6,0.8229,-1.2937,1.1662,-1.0077
"80","Portland Trail Blazers","Damian Lillard",14,"points",28.1429,9.105,31.5,28.75,11.1195,9,40,31,-0.5,-0.9433,2.4334,19.0379
"81","Golden State Warriors","Damion Lee",13,"points",6.7692,3.9823,7,6.6364,5.9304,2,13,11,0.2009,-1.5703,1.1045,2.7869
"82","Cleveland Cavaliers","Damyean Dotson",12,"points",9,6.1496,8,8.7,6.6717,0,21,21,0.3805,-1.0746,1.7753,2.8504
"83","Chicago Bulls","Daniel Gafford",12,"points",5.4167,4.3371,4.5,5,3.7065,0,15,15,0.9229,-0.2842,1.252,1.0796
"84","LA Clippers","Daniel Oturu",7,"points",2.5714,1.9024,4,2.5714,0,0,4,4,-0.4675,-1.8634,0.719,0.669
"85","Boston Celtics","Daniel Theis",12,"points",7.4167,4.6213,7.5,7.2,5.9304,2,15,13,0.1558,-1.5996,1.334,2.7954
"86","Atlanta Hawks","Danilo Gallinari",2,"points",9,5.6569,9,9,5.9304,5,13,8,0,-2.75,4,3.3431
"87","Philadelphia 76ers","Danny Green",14,"points",9.5714,7.068,8.5,8.5833,6.6717,2,29,27,1.2543,1.3872,1.889,2.5034
"88","Cleveland Cavaliers","Dante Exum",6,"points",3.8333,3.1252,5,3.8333,2.2239,0,7,7,-0.3307,-1.9927,1.2758,0.7081
"89","Houston Rockets","Danuel House Jr.",4,"points",7.5,4.1231,8,7.5,4.4478,3,11,8,-0.0749,-2.3519,2.0616,3.3769
"90","Phoenix Suns","Dario Saric",7,"points",10.5714,4.504,12,10.5714,4.4478,4,15,11,-0.4158,-1.7375,1.7023,6.0674
"91","Oklahoma City Thunder","Darius Bazley",13,"points",10.5385,5.6512,9,10.3636,5.9304,3,20,17,0.2932,-1.4142,1.5674,4.8873
"92","Cleveland Cavaliers","Darius Garland",6,"points",17.1667,5.4191,19,17.1667,3.7065,8,22,14,-0.6037,-1.4271,2.2123,11.7476
"93","Oklahoma City Thunder","Darius Miller",3,"points",1,1.7321,0,1,0,0,3,3,0.3849,-2.3333,1,-0.7321
"94","Houston Rockets","David Nwaba",11,"points",7.6364,4.2491,7,7.6667,2.9652,0,15,15,0.2151,-0.7336,1.2811,3.3873
"95","Washington Wizards","Davis Bertans",11,"points",11.8182,5.724,13,11.8889,5.9304,3,20,17,-0.1819,-1.5415,1.7258,6.0942
"96","Sacramento Kings","De'Aaron Fox",14,"points",20.5,9.4279,21.5,20.0833,4.4478,3,43,40,0.401,0.3893,2.5197,11.0721
"97","Atlanta Hawks","De'Andre Hunter",13,"points",16.6923,4.7677,15,16.4545,5.9304,11,25,14,0.3721,-1.3213,1.3223,11.9246
"98","Memphis Grizzlies","De'Anthony Melton",7,"points",8.1429,4.7409,8,8.1429,5.9304,3,15,12,0.3823,-1.7333,1.7919,3.402
"99","Brooklyn Nets","DeAndre Jordan",14,"points",4.8571,2.9576,4,4.5833,1.4826,1,12,11,0.9906,0.1302,0.7904,1.8995
"100","Toronto Raptors","DeAndre' Bembry",6,"points",0.6667,1.0328,0,0.6667,0,0,2,2,0.5379,-1.9583,0.4216,-0.3661
"101","San Antonio Spurs","DeMar DeRozan",12,"points",20.6667,8.8249,21.5,20.4,5.9304,6,38,32,0.0329,-0.6582,2.5475,11.8418
"102","Houston Rockets","DeMarcus Cousins",9,"points",6.5556,3.6094,6,6.5556,4.4478,2,13,11,0.2215,-1.2293,1.2031,2.9462
"103","Cleveland Cavaliers","Dean Wade",12,"points",2.5833,3.0588,1,2.4,1.4826,0,7,7,0.4325,-1.7615,0.883,-0.4755
"104","Phoenix Suns","Deandre Ayton",12,"points",12.9167,5.9001,12,12.7,5.1891,4,24,20,0.4961,-0.915,1.7032,7.0166
"105","Detroit Pistons","Deividas Sirvydis",2,"points",0,0,0,0,0,0,0,0,NA,NA,0,0
"106","San Antonio Spurs","Dejounte Murray",14,"points",15.3571,6.5704,14.5,15.1667,5.9304,4,29,25,0.2863,-0.7506,1.756,8.7867
"107","Detroit Pistons","Delon Wright",13,"points",7.1538,6.2696,5,6.5455,4.4478,2,19,17,0.944,-0.8835,1.7389,0.884200000000001
"108","Washington Wizards","Deni Avdija",11,"points",7,5.4772,6,6.3333,4.4478,0,20,20,0.9096,0.3152,1.6514,1.5228
"109","Los Angeles Lakers","Dennis Schroder",15,"points",14.8,5.4274,14,14.6923,4.4478,6,25,19,0.4047,-0.828,1.4014,9.3726
"110","New York Knicks","Dennis Smith Jr.",3,"points",3,1.7321,4,3,0,1,4,3,-0.3849,-2.3333,1,1.2679
"111","Chicago Bulls","Denzel Valentine",10,"points",7.6,4.6476,8,7.75,5.1891,0,14,14,-0.1176,-1.5571,1.4697,2.9524
"112","Utah Jazz","Derrick Favors",14,"points",5.9286,3.6261,5.5,5.5833,4.4478,2,14,12,0.7006,-0.6452,0.9691,2.3025
"113","Portland Trail Blazers","Derrick Jones Jr.",14,"points",6.8571,2.2483,7,6.9167,2.9652,3,10,7,-0.1747,-1.5742,0.6009,4.6088
"114","Detroit Pistons","Derrick Rose",10,"points",15.5,6.1146,15,15.875,5.1891,4,24,20,-0.2244,-1.0122,1.9336,9.3854
"115","San Antonio Spurs","Derrick White",1,"points",9,NA,9,9,0,9,9,0,NA,NA,NA,NA
"116","Memphis Grizzlies","Desmond Bane",13,"points",8.6154,3.453,9,8.4545,4.4478,3,16,13,0.4574,-0.5399,0.9577,5.1624
"117","Phoenix Suns","Devin Booker",12,"points",22.0833,6.5291,23.5,22.4,2.2239,8,33,25,-0.7139,-0.0484,1.8848,15.5542
"118","San Antonio Spurs","Devin Vassell",13,"points",4.9231,4.2123,4,4.7273,4.4478,0,12,12,0.4015,-1.2463,1.1683,0.7108
"119","Chicago Bulls","Devon Dotson",1,"points",4,NA,4,4,0,4,4,0,NA,NA,NA,NA
"120","Charlotte Hornets","Devonte' Graham",14,"points",12.5,4.9107,13.5,12.6667,5.1891,3,20,17,-0.3348,-0.9002,1.3125,7.5893
"121","Memphis Grizzlies","Dillon Brooks",13,"points",15.1538,6.4788,16,15.4545,7.413,3,24,21,-0.1619,-1.2488,1.7969,8.675
"122","Indiana Pacers","Domantas Sabonis",13,"points",21.6923,5.5435,22,21.5455,4.4478,13,32,19,0.1873,-1.0345,1.5375,16.1488
"123","Utah Jazz","Donovan Mitchell",14,"points",23.5,5.2146,22.5,23.5,6.6717,15,32,17,0.1133,-1.3783,1.3937,18.2854
"124","Milwaukee Bucks","Donte DiVincenzo",14,"points",10.1429,3.9391,10.5,10.0833,4.4478,4,17,13,0.1116,-1.2405,1.0528,6.2038
"125","Dallas Mavericks","Dorian Finney-Smith",8,"points",9.25,3.196,9.5,9.25,2.9652,5,14,9,-0.0833,-1.5252,1.1299,6.054
"126","Indiana Pacers","Doug McDermott",13,"points",12.6154,6.1986,12,12.6364,5.9304,2,23,21,-0.0117,-1.1331,1.7192,6.4168
"127","Golden State Warriors","Draymond Green",9,"points",4.3333,3.3166,4,4.3333,4.4478,0,10,10,0.1969,-1.4096,1.1055,1.0167
"128","San Antonio Spurs","Drew Eubanks",3,"points",3,2.6458,4,3,1.4826,0,5,5,-0.324,-2.3333,1.5275,0.3542
"129","Miami Heat","Duncan Robinson",12,"points",14.8333,7.5297,15,14.8,10.3782,4,26,22,-0.0426,-1.6134,2.1736,7.3036
"130","Orlando Magic","Dwayne Bacon",14,"points",9.2143,5.4657,9.5,9.1667,5.1891,0,19,19,0.2254,-0.8623,1.4608,3.7486
"131","Philadelphia 76ers","Dwight Howard",14,"points",6.9286,3.2925,8,7.1667,1.4826,0,11,11,-0.8781,-0.5279,0.88,3.6361
"132","Dallas Mavericks","Dwight Powell",9,"points",5,3.2787,4,5,2.9652,2,11,9,0.6431,-1.2559,1.0929,1.7213
"133","Cleveland Cavaliers","Dylan Windler",1,"points",3,NA,3,3,0,3,3,0,NA,NA,NA,NA
"134","Phoenix Suns","E'Twaun Moore",2,"points",1,1.4142,1,1,1.4826,0,2,2,0,-2.75,1,-0.4142
"135","Minnesota Timberwolves","Ed Davis",9,"points",2.5556,2.5055,4,2.5556,2.9652,0,6,6,-0.0159,-1.9847,0.8352,0.0501
"136","Indiana Pacers","Edmond Sumner",6,"points",6.6667,4.1793,7.5,6.6667,3.7065,0,12,12,-0.3389,-1.4333,1.7062,2.4874
"137","New York Knicks","Elfrid Payton",15,"points",13.1333,6.5669,14,13.0769,7.413,0,27,27,0.171,-0.2186,1.6956,6.5664
"138","Utah Jazz","Elijah Hughes",6,"points",2.6667,2.5033,2.5,2.6667,3.7065,0,6,6,0.1228,-1.9201,1.022,0.1634
"139","Portland Trail Blazers","Enes Kanter",14,"points",10.0714,5.5396,10,9.5833,4.4478,2,24,22,0.7284,0.4716,1.4805,4.5318
"140","New Orleans Pelicans","Eric Bledsoe",12,"points",11.9167,5.5671,10.5,11.7,5.1891,5,21,16,0.3334,-1.6368,1.6071,6.3496
"141","Houston Rockets","Eric Gordon",8,"points",15.125,7.0799,18.5,15.125,3.7065,4,21,17,-0.6272,-1.5387,2.5031,8.0451
"142","Golden State Warriors","Eric Paschall",12,"points",12.3333,4.3135,12.5,12.3,3.7065,6,19,13,0.1276,-1.3416,1.2452,8.0198
"143","Orlando Magic","Evan Fournier",5,"points",14.8,8.1363,14,14.8,7.413,3,25,22,-0.1909,-1.6065,3.6387,6.6637
"144","Denver Nuggets","Facundo Campazzo",13,"points",4.5385,4.2547,3,4,2.9652,0,15,15,1.1706,0.4632,1.18,0.2838
"145","Detroit Pistons","Frank Jackson",3,"points",2,1.7321,3,2,0,0,3,3,-0.3849,-2.3333,1,0.2679
"146","Phoenix Suns","Frank Kaminsky",6,"points",4.1667,4.446,3,4.1667,4.4478,0,11,11,0.4316,-1.7191,1.8151,-0.2793
"147","New York Knicks","Frank Ntilikina",4,"points",4.5,5.4467,3,4.5,3.7065,0,12,12,0.4456,-1.9421,2.7234,-0.9467
"148","Toronto Raptors","Fred VanVleet",13,"points",19,9.8995,17,18.7273,11.8608,6,35,29,0.2517,-1.5023,2.7456,9.1005
"149","Philadelphia 76ers","Furkan Korkmaz",3,"points",6,4.3589,4,6,1.4826,3,11,8,0.3622,-2.3333,2.5166,1.6411
"150","Miami Heat","Gabe Vincent",5,"points",11.8,9.9348,7,11.8,5.9304,3,24,21,0.2708,-2.1881,4.443,1.8652
"151","Chicago Bulls","Garrett Temple",13,"points",9.9231,5.693,9,9.6364,5.9304,2,21,19,0.3672,-0.9913,1.579,4.2301
"152","Washington Wizards","Garrison Mathews",5,"points",8,8.8034,4,8,5.9304,0,22,22,0.6068,-1.5524,3.937,-0.8034
"153","Orlando Magic","Gary Clark",11,"points",3,3.2249,3,2.5556,4.4478,0,10,10,0.7806,-0.5726,0.9723,-0.2249
"154","Denver Nuggets","Gary Harris",12,"points",10.4167,5.3845,10.5,10.2,5.1891,2,21,19,0.0681,-0.6678,1.5544,5.0322
"155","Portland Trail Blazers","Gary Trent Jr.",12,"points",10.75,7.4727,9.5,10.1,4.4478,0,28,28,0.7241,-0.013,2.1572,3.2773
"156","Oklahoma City Thunder","George Hill",12,"points",10.9167,5.4682,11,10.7,4.4478,3,21,18,0.231,-1.1357,1.5785,5.4485
"157","Utah Jazz","Georges Niang",14,"points",4.1429,5.0361,2,3.6667,2.9652,0,14,14,0.6938,-1.2424,1.346,-0.8932
"158","Milwaukee Bucks","Giannis Antetokounmpo",13,"points",27.1538,9.0171,27,27.3636,7.413,9,43,34,-0.2869,-0.6156,2.5009,18.1367
"159","Sacramento Kings","Glenn Robinson III",11,"points",6.8182,3.8423,7,6.7778,2.9652,0,14,14,0.1067,-0.7481,1.1585,2.9759
"160","Indiana Pacers","Goga Bitadze",1,"points",5,NA,5,5,0,5,5,0,NA,NA,NA,NA
"161","Miami Heat","Goran Dragic",10,"points",15.2,7.51,16,15.5,8.1543,2,26,24,-0.2655,-1.328,2.3749,7.69
"162","Charlotte Hornets","Gordon Hayward",13,"points",22.2308,9.7737,20,21.2727,10.3782,11,44,33,0.6793,-0.5823,2.7107,12.4571
"163","Memphis Grizzlies","Gorgui Dieng",10,"points",8.1,5.1088,7,8,2.9652,0,17,17,0.3034,-1.1434,1.6155,2.9912
"164","Boston Celtics","Grant Williams",10,"points",5,3.6818,3.5,4.25,2.2239,2,14,12,1.3585,0.73,1.1643,1.3182
"165","Memphis Grizzlies","Grayson Allen",12,"points",8,5.8775,6.5,7.6,5.1891,0,20,20,0.5812,-0.8266,1.6967,2.1225
"166","Oklahoma City Thunder","Hamidou Diallo",13,"points",11.0769,6.8369,9,10.6364,4.4478,2,25,23,0.7446,-0.5375,1.8962,4.24
"167","Sacramento Kings","Harrison Barnes",14,"points",16.3571,6.5234,16,16,7.413,7,30,23,0.4028,-0.9507,1.7435,9.8337
"168","Portland Trail Blazers","Harry Giles III",10,"points",2.5,1.9579,2.5,2.25,0.7413,0,7,7,0.7994,0.3252,0.6191,0.5421
"169","Sacramento Kings","Hassan Whiteside",9,"points",6.4444,3.0867,7,6.4444,1.4826,0,11,11,-0.6665,-0.2963,1.0289,3.3577
"170","New York Knicks","Ignas Brazdeikis",4,"points",0.5,1,0,0.5,0,0,2,2,0.75,-1.6875,0.5,-0.5
"171","New York Knicks","Immanuel Quickley",11,"points",10,7.7201,9,9.6667,8.8956,0,23,23,0.2881,-1.5785,2.3277,2.2799
"172","Washington Wizards","Isaac Bonga",8,"points",3,3.7417,1.5,3,2.2239,0,10,10,0.6443,-1.2003,1.3229,-0.7417
"173","Cleveland Cavaliers","Isaac Okoro",8,"points",8.625,4.4701,10.5,8.625,2.9652,0,13,13,-0.8246,-0.9479,1.5804,4.1549
"174","Denver Nuggets","Isaiah Hartenstein",12,"points",4.25,2.6328,5,4.3,2.9652,0,8,8,-0.3579,-1.3234,0.76,1.6172
"175","Philadelphia 76ers","Isaiah Joe",9,"points",7.1111,6.9901,6,7.1111,8.8956,0,18,18,0.1961,-1.8183,2.33,0.121
"176","Oklahoma City Thunder","Isaiah Roby",10,"points",9,5.2915,8.5,8.5,6.6717,3,19,16,0.4455,-1.2505,1.6733,3.7085
"177","Detroit Pistons","Isaiah Stewart",11,"points",4.3636,3.5291,4,4.2222,2.9652,0,10,10,0.2598,-1.5511,1.0641,0.8345
"178","Washington Wizards","Ish Smith",11,"points",5.9091,2.7002,6,6.2222,2.9652,0,9,9,-0.6608,-0.4871,0.8141,3.2089
"179","LA Clippers","Ivica Zubac",14,"points",7.2857,3.6884,6.5,7.3333,4.4478,2,12,10,0.0115,-1.6253,0.9858,3.5973
"180","New Orleans Pelicans","JJ Redick",13,"points",8.4615,6.6535,6,7.7273,5.9304,2,23,21,0.7493,-0.7399,1.8454,1.808
"181","Memphis Grizzlies","Ja Morant",5,"points",22.6,14.0819,17,22.6,14.826,7,44,37,0.4161,-1.6178,6.2976,8.5181
"182","Indiana Pacers","JaKarr Sampson",7,"points",2.5714,2.9358,2,2.5714,2.9652,0,7,7,0.4293,-1.7421,1.1096,-0.3644
"183","Denver Nuggets","JaMychal Green",10,"points",11,3.559,10,11,2.9652,5,17,12,0.1198,-1.1115,1.1255,7.441
"184","Cleveland Cavaliers","JaVale McGee",13,"points",8,4.1028,7,8,5.9304,2,14,12,0.0067,-1.4825,1.1379,3.8972
"185","Minnesota Timberwolves","Jaden McDaniels",6,"points",3.3333,2.0656,3,3.3333,1.4826,0,6,6,-0.2563,-1.3358,0.8433,1.2677
"186","Phoenix Suns","Jae Crowder",12,"points",9.5,7.2676,6,9.1,5.9304,2,21,19,0.5178,-1.5424,2.098,2.2324
"187","Houston Rockets","Jae'Sean Tate",12,"points",8.5,2.9695,8.5,8.5,2.9652,4,13,9,0.0668,-1.307,0.8572,5.5305
"188","Detroit Pistons","Jahlil Okafor",8,"points",4.75,2.6049,6,4.75,1.4826,0,8,8,-0.6099,-1.1326,0.921,2.1451
"189","Sacramento Kings","Jahmi'us Ramsey",4,"points",1.25,1.5,1,1.25,1.4826,0,3,3,0.1389,-2.2801,0.75,-0.25
"190","Minnesota Timberwolves","Jake Layman",9,"points",4.7778,4.4096,4,4.7778,5.9304,0,12,12,0.2641,-1.5144,1.4699,0.3682
"191","San Antonio Spurs","Jakob Poeltl",14,"points",5.2143,4.1912,4,5,3.7065,0,13,13,0.5531,-1.2774,1.1201,1.0231
