"","nameTeam","namePlayer","pts","ast","treb","PRA"
"109","Phoenix Suns","Damian Jones",0,0,1,1
"110","Phoenix Suns","Jevon Carter",0,2,2,4
"111","Phoenix Suns","Deandre Ayton",13,1,8,22
"112","Dallas Mavericks","Luka Doncic",32,5,8,45
"113","Phoenix Suns","Langston Galloway",11,1,1,13
"114","Dallas Mavericks","Willie Cauley-Stein",2,1,2,5
"115","Dallas Mavericks","Josh Richardson",12,1,7,20
"116","Dallas Mavericks","Jalen Brunson",12,4,2,18
"117","Phoenix Suns","Devin Booker",22,3,5,30
"118","Portland Trail Blazers","Enes Kanter",14,0,8,22
"119","Portland Trail Blazers","Damian Lillard",9,7,4,20
"120","Portland Trail Blazers","CJ Elleby",2,1,2,5
"121","Portland Trail Blazers","CJ McCollum",23,3,4,30
"122","Portland Trail Blazers","Derrick Jones Jr.",9,0,4,13
"123","Portland Trail Blazers","Gary Trent Jr.",11,3,2,16
"124","Utah Jazz","Donovan Mitchell",20,5,3,28
"125","Utah Jazz","Georges Niang",0,0,0,0
"126","Utah Jazz","Miye Oni",3,1,1,5
"127","Portland Trail Blazers","Carmelo Anthony",15,0,4,19
"128","Utah Jazz","Derrick Favors",10,3,7,20
"129","Portland Trail Blazers","Harry Giles III",3,0,2,5
"130","Utah Jazz","Rudy Gobert",20,2,17,39
"131","Utah Jazz","Elijah Hughes",3,1,1,5
"132","Portland Trail Blazers","Rodney Hood",0,2,3,5
"133","Utah Jazz","Mike Conley",18,2,3,23
"134","Utah Jazz","Royce O'Neale",0,0,7,7
"135","Utah Jazz","Shaquille Harrison",0,0,0,0
"136","Utah Jazz","Juwan Morgan",0,0,1,1
"137","Utah Jazz","Udoka Azubuike",2,0,1,3
"138","Utah Jazz","Joe Ingles",14,7,5,26
"139","Portland Trail Blazers","Jusuf Nurkic",13,3,3,19
"140","Utah Jazz","Jordan Clarkson",15,1,7,23
"141","Utah Jazz","Bojan Bogdanovic",15,2,6,23
"142","Portland Trail Blazers","Keljin Blevins",0,1,0,1
"143","Portland Trail Blazers","Robert Covington",1,3,4,8
"144","Denver Nuggets","Jamal Murray",9,1,4,14
"145","Sacramento Kings","De'Aaron Fox",21,7,4,32
"146","Sacramento Kings","Nemanja Bjelica",10,2,4,16
"147","Sacramento Kings","Cory Joseph",15,4,3,22
"148","Denver Nuggets","PJ Dozier",7,2,5,14
"149","Sacramento Kings","Hassan Whiteside",4,1,9,14
"150","Sacramento Kings","Tyrese Haliburton",12,4,2,18
"151","Sacramento Kings","Buddy Hield",22,3,4,29
"152","Sacramento Kings","Richaun Holmes",6,1,9,16
"153","Denver Nuggets","Nikola Jokic",29,14,15,58
"154","Denver Nuggets","Isaiah Hartenstein",6,0,3,9
"155","Denver Nuggets","Facundo Campazzo",3,0,1,4
"156","Denver Nuggets","Will Barton",16,4,2,22
"157","Denver Nuggets","Monte Morris",2,0,2,4
"158","Sacramento Kings","Marvin Bagley III",13,0,10,23
"159","Sacramento Kings","Harrison Barnes",21,5,9,35
"160","Denver Nuggets","Gary Harris",10,2,2,14
"161","Denver Nuggets","Paul Millsap",16,3,7,26
"162","Denver Nuggets","Michael Porter Jr.",24,2,5,31
"163","Detroit Pistons","Josh Jackson",19,2,6,27
"164","Minnesota Timberwolves","Anthony Edwards",15,4,4,23
"165","Detroit Pistons","Delon Wright",5,4,2,11
"166","Minnesota Timberwolves","Naz Reid",8,1,5,14
"167","Detroit Pistons","Blake Griffin",15,2,7,24
"168","Detroit Pistons","Killian Hayes",7,3,1,11
"169","Detroit Pistons","Svi Mykhailiuk",3,1,2,6
"170","Detroit Pistons","Jerami Grant",9,3,1,13
"171","Minnesota Timberwolves","Ricky Rubio",3,3,1,7
"172","Minnesota Timberwolves","D'Angelo Russell",18,4,5,27
"173","Minnesota Timberwolves","Karl-Anthony Towns",22,7,11,40
"174","Minnesota Timberwolves","Malik Beasley",23,2,4,29
"175","Minnesota Timberwolves","Jake Layman",0,0,1,1
"176","Minnesota Timberwolves","Juancho Hernangomez",0,0,3,3
"177","Minnesota Timberwolves","Josh Okogie",12,2,4,18
"178","Minnesota Timberwolves","Jarrett Culver",10,2,10,22
"179","Detroit Pistons","Derrick Rose",15,6,1,22
"180","Detroit Pistons","Sekou Doumbouya",6,1,9,16
"181","Detroit Pistons","Mason Plumlee",14,6,8,28
"182","Detroit Pistons","Jahlil Okafor",8,1,7,16
"183","Chicago Bulls","Wendell Carter Jr.",6,2,6,14
"184","Atlanta Hawks","Kevin Huerter",11,4,2,17
"185","Atlanta Hawks","John Collins",14,2,4,20
"186","Chicago Bulls","Daniel Gafford",5,0,1,6
"187","Atlanta Hawks","Nathan Knight",0,0,3,3
"188","Atlanta Hawks","De'Andre Hunter",11,1,3,15
"189","Atlanta Hawks","Solomon Hill",0,0,3,3
"190","Chicago Bulls","Otto Porter Jr.",14,1,5,20
"191","Chicago Bulls","Patrick Williams",16,1,4,21
"192","Atlanta Hawks","Cam Reddish",15,0,6,21
"193","Atlanta Hawks","Trae Young",37,7,6,50
"194","Chicago Bulls","Zach LaVine",22,1,2,25
"195","Chicago Bulls","Adam Mokoka",4,2,2,8
"196","Chicago Bulls","Chandler Hutchison",2,0,5,7
"197","Chicago Bulls","Coby White",9,7,2,18
"198","Chicago Bulls","Lauri Markkanen",21,4,7,32
"199","Atlanta Hawks","Skylar Mays",0,0,0,0
"200","Atlanta Hawks","Bogdan Bogdanovic",15,2,7,24
"201","Atlanta Hawks","Danilo Gallinari",13,3,4,20
"202","Chicago Bulls","Ryan Arcidiacono",5,2,3,10
"203","Atlanta Hawks","Brandon Goodwin",3,4,1,8
"204","Atlanta Hawks","Bruno Fernando",5,1,7,13
"205","San Antonio Spurs","Patty Mills",13,2,2,17
"206","San Antonio Spurs","LaMarcus Aldridge",20,1,3,24
"207","Memphis Grizzlies","Grayson Allen",6,5,2,13
"208","Memphis Grizzlies","Tyus Jones",7,1,1,9
"209","San Antonio Spurs","Dejounte Murray",21,9,6,36
"210","San Antonio Spurs","DeMar DeRozan",28,9,9,46
"211","Memphis Grizzlies","Jonas Valanciunas",15,2,13,30
"212","San Antonio Spurs","Jakob Poeltl",4,1,7,12
"213","Memphis Grizzlies","Dillon Brooks",16,6,4,26
"214","San Antonio Spurs","Devin Vassell",3,0,3,6
"215","Memphis Grizzlies","De'Anthony Melton",3,1,2,6
"216","San Antonio Spurs","Keldon Johnson",16,3,5,24
"217","Memphis Grizzlies","Kyle Anderson",7,2,10,19
"218","Memphis Grizzlies","Brandon Clarke",10,0,3,13
"219","San Antonio Spurs","Rudy Gay",10,1,7,18
"220","Memphis Grizzlies","Desmond Bane",6,0,4,10
"221","Memphis Grizzlies","Ja Morant",44,9,2,55
"222","Memphis Grizzlies","Gorgui Dieng",5,1,1,7
"223","San Antonio Spurs","Lonnie Walker IV",16,2,6,24
"224","Boston Celtics","Jeff Teague",19,4,3,26
"225","Boston Celtics","Daniel Theis",10,3,3,16
"226","Milwaukee Bucks","Sam Merrill",0,0,0,0
"227","Milwaukee Bucks","Donte DiVincenzo",15,3,5,23
"228","Milwaukee Bucks","Pat Connaughton",6,1,1,8
"229","Boston Celtics","Grant Williams",3,1,1,5
"230","Milwaukee Bucks","Jrue Holiday",25,3,6,34
"231","Milwaukee Bucks","Brook Lopez",7,0,3,10
"232","Boston Celtics","Tristan Thompson",12,1,8,21
"233","Boston Celtics","Semi Ojeleye",5,1,4,10
"234","Milwaukee Bucks","Giannis Antetokounmpo",35,2,13,50
"235","Milwaukee Bucks","Khris Middleton",27,8,14,49
"236","Boston Celtics","Payton Pritchard",3,0,1,4
"237","Boston Celtics","Marcus Smart",3,7,1,11
"238","Boston Celtics","Jayson Tatum",30,2,7,39
"239","Boston Celtics","Jaylen Brown",33,4,5,42
"240","Milwaukee Bucks","Bryn Forbes",3,0,1,4
"241","Boston Celtics","Robert Williams III",4,0,4,8
"242","Milwaukee Bucks","D.J. Wilson",0,1,5,6
"243","Milwaukee Bucks","Bobby Portis",3,1,4,8
"244","Toronto Raptors","Aron Baynes",11,0,9,20
"245","Toronto Raptors","OG Anunoby",8,2,8,18
"246","New Orleans Pelicans","Lonzo Ball",16,2,5,23
"247","New Orleans Pelicans","Eric Bledsoe",18,6,2,26
"248","New Orleans Pelicans","Jaxson Hayes",0,1,0,1
"249","New Orleans Pelicans","Brandon Ingram",24,11,9,44
"250","New Orleans Pelicans","Nickeil Alexander-Walker",3,0,1,4
"251","Toronto Raptors","Kyle Lowry",18,10,1,29
"252","New Orleans Pelicans","Nicolo Melli",0,2,2,4
"253","Toronto Raptors","DeAndre' Bembry",0,0,0,0
"254","New Orleans Pelicans","JJ Redick",23,1,3,27
"255","Toronto Raptors","Malachi Flynn",0,0,0,0
"256","Toronto Raptors","Chris Boucher",12,0,5,17
"257","Toronto Raptors","Pascal Siakam",20,6,6,32
"258","Toronto Raptors","Norman Powell",12,1,1,14
"259","Toronto Raptors","Matt Thomas",9,4,2,15
"260","Toronto Raptors","Fred VanVleet",9,3,3,15
"261","New Orleans Pelicans","Zion Williamson",15,3,10,28
"262","Toronto Raptors","Terence Davis",0,0,0,0
"263","New Orleans Pelicans","Steven Adams",8,3,8,19
"264","New Orleans Pelicans","Josh Hart",6,1,5,12
"265","Toronto Raptors","Stanley Johnson",0,0,0,0
"266","Philadelphia 76ers","Dwight Howard",4,2,10,16
"267","Philadelphia 76ers","Tobias Harris",10,0,8,18
"268","Philadelphia 76ers","Danny Green",2,2,0,4
"269","Philadelphia 76ers","Joel Embiid",29,2,14,45
"270","Philadelphia 76ers","Tyrese Maxey",6,2,2,10
"271","Washington Wizards","Ish Smith",7,3,4,14
"272","Washington Wizards","Robin Lopez",3,0,3,6
"273","Washington Wizards","Russell Westbrook",21,15,11,47
"274","Philadelphia 76ers","Mike Scott",3,0,2,5
"275","Philadelphia 76ers","Furkan Korkmaz",11,0,1,12
"276","Washington Wizards","Moritz Wagner",4,1,2,7
"277","Washington Wizards","Davis Bertans",14,1,3,18
"278","Philadelphia 76ers","Seth Curry",13,4,0,17
"279","Philadelphia 76ers","Matisse Thybulle",0,0,0,0
"280","Washington Wizards","Thomas Bryant",10,0,5,15
"281","Washington Wizards","Raul Neto",2,1,0,3
"282","Washington Wizards","Troy Brown Jr.",3,1,3,7
"283","Washington Wizards","Deni Avdija",7,1,4,12
"284","Washington Wizards","Bradley Beal",31,3,2,36
"285","Philadelphia 76ers","Shake Milton",19,3,1,23
"286","Washington Wizards","Isaac Bonga",5,2,3,10
"287","Philadelphia 76ers","Ben Simmons",16,7,9,32
"288","Orlando Magic","Chuma Okeke",3,2,5,10
"289","Orlando Magic","Dwayne Bacon",0,3,3,6
"290","Orlando Magic","Cole Anthony",6,6,2,14
"291","Orlando Magic","Aaron Gordon",20,0,7,27
"292","Orlando Magic","Nikola Vucevic",15,3,11,29
"293","Orlando Magic","Khem Birch",6,0,2,8
"294","Miami Heat","Jimmy Butler",19,7,3,29
"295","Miami Heat","Bam Adebayo",25,4,11,40
"296","Miami Heat","Tyler Herro",13,4,6,23
"297","Miami Heat","Andre Iguodala",0,0,4,4
"298","Orlando Magic","Evan Fournier",25,4,0,29
"299","Miami Heat","Kelly Olynyk",5,1,3,9
