"","nameTeam","namePlayer","pts","ast","treb","PRA"
"1005","Indiana Pacers","T.J. McConnell",2,3,5,10
"1006","Indiana Pacers","Myles Turner",16,0,6,22
"1007","Indiana Pacers","Domantas Sabonis",14,8,11,33
"1008","Indiana Pacers","Malcolm Brogdon",19,7,3,29
"1009","Indiana Pacers","Aaron Holiday",5,2,1,8
"1010","Boston Celtics","Javonte Green",7,1,3,11
"1011","Boston Celtics","Jeff Teague",6,2,2,10
"1012","Boston Celtics","Tristan Thompson",14,1,10,25
"1013","Boston Celtics","Marcus Smart",17,5,1,23
"1014","Boston Celtics","Jaylen Brown",20,2,2,24
"1015","Boston Celtics","Jayson Tatum",27,4,11,42
"1016","Denver Nuggets","Monte Morris",24,4,1,29
"1017","Denver Nuggets","Bol Bol",0,0,0,0
"1018","Denver Nuggets","Markus Howard",0,0,0,0
"1019","Denver Nuggets","Isaiah Hartenstein",3,1,3,7
"1020","Denver Nuggets","R.J. Hampton",0,0,0,0
"1021","Sacramento Kings","Buddy Hield",12,3,8,23
"1022","Denver Nuggets","Gary Harris",11,0,1,12
"1023","Sacramento Kings","Harrison Barnes",13,8,6,27
"1024","Sacramento Kings","Tyrese Haliburton",13,6,3,22
"1025","Denver Nuggets","Will Barton",7,1,4,12
"1026","Denver Nuggets","Paul Millsap",5,2,4,11
"1027","Sacramento Kings","De'Aaron Fox",24,9,3,36
"1028","Denver Nuggets","Nikola Jokic",26,12,10,48
"1029","Denver Nuggets","Facundo Campazzo",1,5,2,8
"1030","Sacramento Kings","Hassan Whiteside",6,0,5,11
"1031","Sacramento Kings","Cory Joseph",7,2,0,9
"1032","Sacramento Kings","Richaun Holmes",20,3,5,28
"1033","Denver Nuggets","PJ Dozier",8,1,4,13
"1034","Sacramento Kings","Marvin Bagley III",18,1,2,21
"1035","Denver Nuggets","Michael Porter Jr.",30,1,10,41
"1036","Sacramento Kings","Nemanja Bjelica",12,1,5,18
"1037","Denver Nuggets","Zeke Nnaji",0,0,0,0
"1038","New Orleans Pelicans","Kira Lewis Jr.",4,1,0,5
"1039","New Orleans Pelicans","Eric Bledsoe",7,2,0,9
"1040","New Orleans Pelicans","Willy Hernangomez",1,1,4,6
"1041","New Orleans Pelicans","Lonzo Ball",7,1,0,8
"1042","New Orleans Pelicans","Sindarius Thornwell",2,0,0,2
"1043","New Orleans Pelicans","Nicolo Melli",5,1,8,14
"1044","Phoenix Suns","Chris Paul",9,9,2,20
"1045","Phoenix Suns","E'Twaun Moore",0,0,0,0
"1046","New Orleans Pelicans","Brandon Ingram",13,6,6,25
"1047","Phoenix Suns","Dario Saric",10,1,4,15
"1048","Phoenix Suns","Frank Kaminsky",3,0,2,5
"1049","Phoenix Suns","Devin Booker",8,3,6,17
"1050","Phoenix Suns","Damian Jones",0,0,2,2
"1051","New Orleans Pelicans","Josh Hart",3,0,6,9
"1052","Phoenix Suns","Mikal Bridges",13,0,7,20
"1053","New Orleans Pelicans","Jaxson Hayes",0,1,6,7
"1054","New Orleans Pelicans","JJ Redick",2,0,1,3
"1055","Phoenix Suns","Langston Galloway",3,1,0,4
"1056","Phoenix Suns","Jevon Carter",0,1,1,2
"1057","Phoenix Suns","Jae Crowder",21,1,2,24
"1058","New Orleans Pelicans","Nickeil Alexander-Walker",11,4,0,15
"1059","New Orleans Pelicans","Zion Williamson",20,0,2,22
"1060","Phoenix Suns","Cameron Johnson",18,0,2,20
"1061","Phoenix Suns","Ty-Shon Alexander",0,1,1,2
"1062","Phoenix Suns","Deandre Ayton",13,0,12,25
"1063","New Orleans Pelicans","Steven Adams",11,1,8,20
"1064","Phoenix Suns","Cameron Payne",13,7,2,22
"1065","LA Clippers","Lou Williams",20,5,3,28
"1066","LA Clippers","Nicolas Batum",7,3,5,15
"1067","LA Clippers","Patrick Beverley",12,1,3,16
"1068","LA Clippers","Paul George",18,5,6,29
"1069","LA Clippers","Serge Ibaka",16,4,8,28
"1070","LA Clippers","Amir Coffey",5,1,1,7
"1071","Minnesota Timberwolves","Ricky Rubio",17,5,0,22
"1072","LA Clippers","Ivica Zubac",12,1,4,17
"1073","LA Clippers","Reggie Jackson",11,4,4,19
"1074","LA Clippers","Terance Mann",4,3,4,11
"1075","Minnesota Timberwolves","Jake Layman",4,1,1,6
"1076","LA Clippers","Daniel Oturu",4,1,3,8
"1077","LA Clippers","Mfiondu Kabengele",0,0,2,2
"1078","Minnesota Timberwolves","Naz Reid",11,1,3,15
"1079","Minnesota Timberwolves","Anthony Edwards",12,0,0,12
"1080","Minnesota Timberwolves","D'Angelo Russell",22,4,3,29
"1081","Minnesota Timberwolves","Malik Beasley",19,0,4,23
"1082","Minnesota Timberwolves","Ed Davis",0,1,6,7
"1083","Minnesota Timberwolves","Jordan McLaughlin",2,9,0,11
"1084","LA Clippers","Luke Kennard",15,4,3,22
"1085","Minnesota Timberwolves","Jaden McDaniels",3,0,2,5
"1086","Minnesota Timberwolves","Jarrett Culver",0,0,10,10
"1087","Minnesota Timberwolves","Jarred Vanderbilt",9,1,6,16
"1088","Minnesota Timberwolves","Juancho Hernangomez",2,0,4,6
"1089","Orlando Magic","Michael Carter-Williams",4,2,8,14
"1090","Orlando Magic","Markelle Fultz",11,10,4,25
"1091","Orlando Magic","Dwayne Bacon",18,0,8,26
"1092","Orlando Magic","Nikola Vucevic",28,5,10,43
"1093","Orlando Magic","Terrence Ross",14,1,1,16
"1094","Oklahoma City Thunder","Justin Jackson",8,3,2,13
"1095","Orlando Magic","Evan Fournier",14,2,1,17
"1096","Orlando Magic","Khem Birch",7,0,2,9
"1097","Oklahoma City Thunder","Isaiah Roby",19,0,7,26
"1098","Orlando Magic","Chuma Okeke",3,1,3,7
"1099","Orlando Magic","Cole Anthony",7,3,4,14
"1100","Oklahoma City Thunder","Mike Muscala",14,2,5,21
"1101","Oklahoma City Thunder","Shai Gilgeous-Alexander",23,7,7,37
"1102","Oklahoma City Thunder","Josh Hall",0,0,0,0
"1103","Oklahoma City Thunder","Luguentz Dort",15,0,4,19
"1104","Oklahoma City Thunder","Aleksej Pokusevski",2,3,6,11
"1105","Orlando Magic","Aaron Gordon",12,2,5,19
"1106","Oklahoma City Thunder","Theo Maledon",7,3,1,11
"1107","Oklahoma City Thunder","Kenrich Williams",0,0,1,1
"1108","Oklahoma City Thunder","Hamidou Diallo",13,0,8,21
"1109","Oklahoma City Thunder","Darius Bazley",6,2,6,14
"1110","Miami Heat","Goran Dragic",2,1,0,3
"1111","Miami Heat","Meyers Leonard",0,0,1,1
"1112","Miami Heat","Maurice Harkless",0,0,0,0
"1113","Miami Heat","Bam Adebayo",12,4,6,22
"1114","Miami Heat","Chris Silva",2,0,0,2
"1115","Miami Heat","KZ Okpala",3,0,4,7
"1116","Milwaukee Bucks","Brook Lopez",14,0,2,16
"1117","Miami Heat","Avery Bradley",14,1,2,17
"1118","Miami Heat","Duncan Robinson",4,1,2,7
"1119","Milwaukee Bucks","Jrue Holiday",24,7,3,34
"1120","Milwaukee Bucks","Donte DiVincenzo",17,2,1,20
"1121","Miami Heat","Kelly Olynyk",5,2,5,12
"1122","Milwaukee Bucks","Giannis Antetokounmpo",9,6,6,21
"1123","Milwaukee Bucks","Khris Middleton",25,5,4,34
"1124","Miami Heat","Max Strus",7,1,0,8
"1125","Milwaukee Bucks","Sam Merrill",3,1,2,6
"1126","Milwaukee Bucks","D.J. Wilson",3,0,3,6
"1127","Milwaukee Bucks","Thanasis Antetokounmpo",5,4,5,14
"1128","Milwaukee Bucks","D.J. Augustin",10,2,4,16
"1129","Milwaukee Bucks","Bobby Portis",11,1,9,21
"1130","Miami Heat","Kendrick Nunn",15,6,3,24
"1131","Milwaukee Bucks","Bryn Forbes",12,1,2,15
"1132","Miami Heat","Tyler Herro",23,7,3,33
"1133","Milwaukee Bucks","Pat Connaughton",3,3,2,8
"1134","Miami Heat","Precious Achiuwa",10,0,4,14
"1135","Milwaukee Bucks","Jordan Nwora",8,0,2,10
"1136","Golden State Warriors","Juan Toscano-Anderson",5,4,3,12
"1137","Detroit Pistons","Delon Wright",5,3,1,9
"1138","Golden State Warriors","James Wiseman",6,1,6,13
"1139","Detroit Pistons","Sekou Doumbouya",9,0,2,11
"1140","Golden State Warriors","Andrew Wiggins",27,3,7,37
"1141","Golden State Warriors","Kelly Oubre Jr.",14,0,5,19
"1142","Golden State Warriors","Kevon Looney",2,4,5,11
"1143","Golden State Warriors","Mychal Mulder",2,0,1,3
"1144","Golden State Warriors","Eric Paschall",10,1,2,13
"1145","Detroit Pistons","Blake Griffin",8,3,5,16
"1146","Detroit Pistons","Jerami Grant",27,1,7,35
"1147","Detroit Pistons","Josh Jackson",17,3,6,26
"1148","Detroit Pistons","Killian Hayes",0,1,0,1
"1149","Detroit Pistons","Saddiq Bey",11,0,3,14
"1150","Golden State Warriors","Brad Wanamaker",9,2,2,13
"1151","Golden State Warriors","Damion Lee",8,0,3,11
"1152","Detroit Pistons","Svi Mykhailiuk",6,0,2,8
"1153","Golden State Warriors","Jordan Poole",2,0,1,3
"1154","Detroit Pistons","Mason Plumlee",2,2,10,14
"1155","Detroit Pistons","Isaiah Stewart",6,1,7,14
"1156","Detroit Pistons","Derrick Rose",15,7,2,24
"1157","Golden State Warriors","Stephen Curry",31,6,5,42
"1158","Chicago Bulls","Garrett Temple",12,2,1,15
"1159","Chicago Bulls","Tomas Satoransky",10,6,2,18
"1160","Chicago Bulls","Otto Porter Jr.",16,1,3,20
"1161","Chicago Bulls","Wendell Carter Jr.",10,3,12,25
"1162","Chicago Bulls","Chandler Hutchison",2,0,3,5
"1163","Chicago Bulls","Lauri Markkanen",9,0,4,13
"1164","Chicago Bulls","Coby White",18,6,5,29
"1165","Chicago Bulls","Zach LaVine",23,6,5,34
"1166","Chicago Bulls","Daniel Gafford",3,0,1,4
"1167","Chicago Bulls","Patrick Williams",12,2,1,15
"1168","Washington Wizards","Russell Westbrook",21,11,15,47
"1169","Washington Wizards","Robin Lopez",6,0,6,12
"1170","Washington Wizards","Ish Smith",4,1,2,7
"1171","Washington Wizards","Davis Bertans",20,2,4,26
"1172","Washington Wizards","Bradley Beal",29,3,4,36
"1173","Washington Wizards","Raul Neto",2,0,1,3
"1174","Washington Wizards","Thomas Bryant",13,2,6,21
"1175","Washington Wizards","Troy Brown Jr.",0,2,1,3
"1176","Washington Wizards","Isaac Bonga",0,0,4,4
"1177","Washington Wizards","Garrison Mathews",0,0,0,0
"1178","Washington Wizards","Deni Avdija",9,4,4,17
"1179","Washington Wizards","Anthony Gill",3,0,0,3
"1180","Philadelphia 76ers","Dwight Howard",0,0,3,3
"1181","Toronto Raptors","Chris Boucher",0,0,1,1
"1182","Toronto Raptors","Matt Thomas",4,0,0,4
"1183","Philadelphia 76ers","Danny Green",7,0,2,9
"1184","Philadelphia 76ers","Tobias Harris",26,3,11,40
"1185","Philadelphia 76ers","Mike Scott",3,0,2,5
"1186","Philadelphia 76ers","Joel Embiid",29,4,16,49
"1187","Philadelphia 76ers","Ben Simmons",11,7,13,31
"1188","Toronto Raptors","Stanley Johnson",7,0,8,15
"1189","Philadelphia 76ers","Shake Milton",7,2,1,10
"1190","Philadelphia 76ers","Tyrese Maxey",0,1,0,1
"1191","Philadelphia 76ers","Matisse Thybulle",0,0,0,0
"1192","Toronto Raptors","Alex Len",2,2,5,9
"1193","Toronto Raptors","Aron Baynes",2,1,6,9
"1194","Toronto Raptors","OG Anunoby",20,2,6,28
"1195","Toronto Raptors","Norman Powell",6,1,1,8
"1196","Toronto Raptors","Fred VanVleet",8,6,6,20
"1197","Toronto Raptors","Pascal Siakam",20,0,6,26
"1198","Philadelphia 76ers","Seth Curry",17,4,6,27
"1199","Toronto Raptors","Kyle Lowry",24,9,8,41
"1200","LA Clippers","Serge Ibaka",11,3,8,22
"1201","LA Clippers","Nicolas Batum",11,3,5,19
"1202","LA Clippers","Paul George",23,7,10,40
"1203","LA Clippers","Patrick Patterson",2,0,3,5
"1204","LA Clippers","Kawhi Leonard",28,7,3,38
"1205","LA Clippers","Ivica Zubac",7,2,2,11
"1206","LA Clippers","Luke Kennard",5,1,0,6
"1207","LA Clippers","Amir Coffey",6,0,0,6
"1208","LA Clippers","Mfiondu Kabengele",0,2,0,2
"1209","LA Clippers","Daniel Oturu",2,1,2,5
"1210","Portland Trail Blazers","Carmelo Anthony",15,2,5,22
"1211","LA Clippers","Lou Williams",15,2,5,22
"1212","Portland Trail Blazers","Robert Covington",8,1,3,12
"1213","Portland Trail Blazers","Jusuf Nurkic",4,1,4,9
"1214","Portland Trail Blazers","Harry Giles III",7,0,5,12
"1215","Portland Trail Blazers","CJ Elleby",2,0,0,2
"1216","LA Clippers","Reggie Jackson",11,2,1,14
"1217","Portland Trail Blazers","Anfernee Simons",3,0,0,3
"1218","Portland Trail Blazers","Keljin Blevins",2,2,0,4
"1219","LA Clippers","Terance Mann",0,0,4,4
"1220","Portland Trail Blazers","Derrick Jones Jr.",6,0,3,9
"1221","LA Clippers","Patrick Beverley",7,0,4,11
"1222","Portland Trail Blazers","Damian Lillard",20,4,5,29
"1223","Portland Trail Blazers","Rodney Hood",3,1,2,6
"1224","Portland Trail Blazers","Enes Kanter",10,0,10,20
"1225","Portland Trail Blazers","CJ McCollum",25,3,4,32
"1226","Dallas Mavericks","Luka Doncic",12,5,2,19
"1227","Dallas Mavericks","Boban Marjanovic",2,0,1,3
"1228","Dallas Mavericks","Wes Iwundu",6,0,0,6
"1229","Charlotte Hornets","Miles Bridges",20,2,16,38
"1230","Charlotte Hornets","Caleb Martin",4,4,4,12
"1231","Dallas Mavericks","Tim Hardaway Jr.",18,1,2,21
"1232","Charlotte Hornets","Jalen McDaniels",10,0,1,11
"1233","Dallas Mavericks","Dorian Finney-Smith",5,0,6,11
"1234","Charlotte Hornets","LaMelo Ball",22,5,8,35
"1235","Dallas Mavericks","Tyrell Terry",0,1,0,1
"1236","Dallas Mavericks","Josh Richardson",4,2,2,8
"1237","Charlotte Hornets","Vernon Carey Jr.",0,1,1,2
"1238","Charlotte Hornets","Nick Richards",0,0,0,0
"1239","Charlotte Hornets","Bismack Biyombo",9,4,6,19
"1240","Charlotte Hornets","Devonte' Graham",9,5,0,14
"1241","Dallas Mavericks","Trey Burke",3,4,1,8
"1242","Dallas Mavericks","Maxi Kleber",12,1,6,19
"1243","Charlotte Hornets","Gordon Hayward",11,3,7,21
"1244","Dallas Mavericks","Dwight Powell",9,2,4,15
"1245","Dallas Mavericks","Willie Cauley-Stein",5,0,3,8
"1246","Dallas Mavericks","Jalen Brunson",16,4,4,24
"1247","Charlotte Hornets","Terry Rozier",18,3,5,26
"1248","Dallas Mavericks","Josh Green",0,0,2,2
"1249","Charlotte Hornets","P.J. Washington",11,3,2,16
"1250","Charlotte Hornets","Cody Martin",4,0,0,4
"1251","Dallas Mavericks","James Johnson",7,4,6,17
"1252","Los Angeles Lakers","Jared Dudley",0,0,0,0
"1253","Los Angeles Lakers","Kentavious Caldwell-Pope",10,2,2,14
"1254","Los Angeles Lakers","Quinn Cook",3,0,0,3
"1255","San Antonio Spurs","Keita Bates-Diop",0,0,0,0
"1256","San Antonio Spurs","Keldon Johnson",7,3,3,13
"1257","San Antonio Spurs","Luka Samanic",0,0,0,0
"1258","San Antonio Spurs","Tre Jones",2,0,0,2
"1259","Los Angeles Lakers","Anthony Davis",20,3,8,31
"1260","Los Angeles Lakers","LeBron James",26,8,5,39
"1261","San Antonio Spurs","Rudy Gay",8,1,3,12
"1262","San Antonio Spurs","Patty Mills",12,4,3,19
"1263","Los Angeles Lakers","Wesley Matthews",18,0,2,20
"1264","Los Angeles Lakers","Markieff Morris",2,1,6,9
"1265","Los Angeles Lakers","Montrezl Harrell",10,1,9,20
"1266","San Antonio Spurs","Dejounte Murray",29,7,7,43
"1267","Los Angeles Lakers","Alfonzo McKinnie",0,0,0,0
"1268","Los Angeles Lakers","Kyle Kuzma",6,4,6,16
"1269","San Antonio Spurs","Drew Eubanks",4,0,5,9
"1270","San Antonio Spurs","Devin Vassell",3,0,2,5
"1271","San Antonio Spurs","Jakob Poeltl",8,1,7,16
"1272","San Antonio Spurs","DeMar DeRozan",23,6,5,34
"1273","San Antonio Spurs","Lonnie Walker IV",11,3,4,18
"1274","Los Angeles Lakers","Marc Gasol",5,2,5,12
"1275","Los Angeles Lakers","Dennis Schroder",21,4,4,29
"1276","Miami Heat","Goran Dragic",26,2,5,33
"1277","Miami Heat","Avery Bradley",16,0,2,18
"1278","Miami Heat","Maurice Harkless",0,0,0,0
"1279","Miami Heat","Kelly Olynyk",15,4,8,27
"1280","Miami Heat","Bam Adebayo",22,10,8,40
"1281","Miami Heat","Duncan Robinson",9,0,3,12
"1282","Miami Heat","Kendrick Nunn",3,1,0,4
"1283","Miami Heat","Gabe Vincent",7,2,2,11
"1284","Miami Heat","Tyler Herro",21,4,15,40
"1285","Milwaukee Bucks","D.J. Augustin",3,1,0,4
"1286","Milwaukee Bucks","Giannis Antetokounmpo",26,10,13,49
"1287","Milwaukee Bucks","Bryn Forbes",9,0,3,12
"1288","Miami Heat","Precious Achiuwa",0,0,5,5
"1289","Milwaukee Bucks","Jrue Holiday",13,5,4,22
"1290","Milwaukee Bucks","Khris Middleton",8,9,7,24
"1291","Milwaukee Bucks","Bobby Portis",11,0,2,13
"1292","Milwaukee Bucks","Pat Connaughton",12,0,3,15
"1293","Milwaukee Bucks","Brook Lopez",7,0,8,15
"1294","Milwaukee Bucks","Donte DiVincenzo",15,1,5,21
"1295","Miami Heat","Andre Iguodala",0,2,4,6
"1296","Milwaukee Bucks","Thanasis Antetokounmpo",4,0,2,6
"1297","Boston Celtics","Marcus Smart",14,4,2,20
"1298","Boston Celtics","Robert Williams III",6,2,10,18
"1299","Memphis Grizzlies","Gorgui Dieng",17,2,6,25
"1300","Memphis Grizzlies","Tyus Jones",6,2,2,10
"1301","Memphis Grizzlies","Grayson Allen",0,2,1,3
"1302","Memphis Grizzlies","Jonas Valanciunas",20,1,11,32
"1303","Memphis Grizzlies","Kyle Anderson",9,9,4,22
"1304","Memphis Grizzlies","Dillon Brooks",16,2,5,23
"1305","Boston Celtics","Daniel Theis",12,2,5,19
"1306","Boston Celtics","Grant Williams",2,0,2,4
"1307","Boston Celtics","Jeff Teague",4,4,5,13
"1308","Boston Celtics","Payton Pritchard",8,3,2,13
"1309","Boston Celtics","Tacko Fall",2,0,1,3
"1310","Boston Celtics","Jayson Tatum",16,3,4,23
"1311","Boston Celtics","Semi Ojeleye",2,0,0,2
"1312","Memphis Grizzlies","Brandon Clarke",10,1,7,18
"1313","Boston Celtics","Jaylen Brown",42,4,5,51
"1314","Boston Celtics","Tremont Waters",4,2,0,6
"1315","Memphis Grizzlies","Sean McDermott",4,2,3,9
"1316","Boston Celtics","Aaron Nesmith",5,1,3,9
"1317","Memphis Grizzlies","John Konchar",9,5,3,17
"1318","Memphis Grizzlies","Desmond Bane",16,0,4,20
"1319","Boston Celtics","Carsen Edwards",9,2,3,14
"1320","Atlanta Hawks","Rajon Rondo",0,6,2,8
"1321","Atlanta Hawks","Bogdan Bogdanovic",22,1,4,27
"1322","Atlanta Hawks","Trae Young",30,11,6,47
"1323","Atlanta Hawks","Solomon Hill",9,0,2,11
"1324","Brooklyn Nets","DeAndre Jordan",5,0,1,6
"1325","Atlanta Hawks","John Collins",30,1,10,41
"1326","Atlanta Hawks","Bruno Fernando",0,0,4,4
"1327","Brooklyn Nets","Taurean Prince",12,1,3,16
"1328","Atlanta Hawks","Kevin Huerter",7,4,2,13
"1329","Atlanta Hawks","Clint Capela",7,0,12,19
"1330","Brooklyn Nets","Landry Shamet",14,0,1,15
"1331","Atlanta Hawks","De'Andre Hunter",11,3,8,22
"1332","Brooklyn Nets","Kevin Durant",33,8,11,52
"1333","Brooklyn Nets","Kyrie Irving",25,6,2,33
"1334","Brooklyn Nets","Joe Harris",23,2,2,27
"1335","Brooklyn Nets","Jarrett Allen",15,1,13,29
"1336","Brooklyn Nets","Jeff Green",5,1,2,8
"1337","Atlanta Hawks","Danilo Gallinari",5,0,1,6
"1338","Brooklyn Nets","Timothe Luwawu-Cabarrot",3,3,1,7
"1339","Atlanta Hawks","Cam Reddish",20,1,3,24
"1340","Brooklyn Nets","Caris LeVert",10,8,4,22
"1341","Phoenix Suns","Chris Paul",11,8,4,23
"1342","Phoenix Suns","Jae Crowder",16,1,6,23
"1343","Phoenix Suns","Dario Saric",5,1,5,11
"1344","Phoenix Suns","Langston Galloway",0,2,2,4
"1345","Phoenix Suns","Frank Kaminsky",0,0,0,0
"1346","Phoenix Suns","Cameron Payne",10,2,1,13
"1347","Phoenix Suns","Mikal Bridges",16,0,6,22
"1348","Phoenix Suns","Jevon Carter",9,0,3,12
"1349","Phoenix Suns","Cameron Johnson",10,2,2,14
"1350","Utah Jazz","Mike Conley",16,4,5,25
"1351","Utah Jazz","Derrick Favors",10,1,5,16
"1352","Utah Jazz","Rudy Gobert",18,0,14,32
"1353","Utah Jazz","Jordan Clarkson",12,2,5,19
"1354","Utah Jazz","Joe Ingles",5,4,1,10
"1355","Utah Jazz","Royce O'Neale",8,1,9,18
"1356","Utah Jazz","Georges Niang",0,0,0,0
"1357","Utah Jazz","Donovan Mitchell",23,3,6,32
"1358","Phoenix Suns","Devin Booker",25,7,3,35
"1359","Phoenix Suns","Deandre Ayton",4,3,9,16
"1360","Utah Jazz","Bojan Bogdanovic",3,1,1,5
"1361","New Orleans Pelicans","Eric Bledsoe",17,1,3,21
"1362","New Orleans Pelicans","Steven Adams",14,2,10,26
"1363","New Orleans Pelicans","Lonzo Ball",16,9,8,33
"1364","New Orleans Pelicans","Josh Hart",12,2,11,25
"1365","New Orleans Pelicans","Sindarius Thornwell",0,0,1,1
"1366","New Orleans Pelicans","Jaxson Hayes",0,1,6,7
"1367","New Orleans Pelicans","Nickeil Alexander-Walker",14,1,3,18
"1368","New Orleans Pelicans","Nicolo Melli",5,3,2,10
"1369","Oklahoma City Thunder","Al Horford",17,3,6,26
"1370","Oklahoma City Thunder","George Hill",8,4,0,12
"1371","Oklahoma City Thunder","Mike Muscala",10,1,2,13
"1372","Oklahoma City Thunder","Hamidou Diallo",3,3,1,7
"1373","New Orleans Pelicans","Brandon Ingram",20,2,7,29
"1374","Oklahoma City Thunder","Kenrich Williams",0,0,1,1
"1375","Oklahoma City Thunder","Darius Bazley",7,2,4,13
"1376","Oklahoma City Thunder","Moses Brown",0,0,2,2
"1377","New Orleans Pelicans","Zion Williamson",12,1,5,18
"1378","Oklahoma City Thunder","Isaiah Roby",7,0,6,13
"1379","Oklahoma City Thunder","Theo Maledon",6,2,5,13
"1380","Oklahoma City Thunder","Aleksej Pokusevski",3,4,5,12
"1381","New Orleans Pelicans","Kira Lewis Jr.",0,0,0,0
"1382","New Orleans Pelicans","JJ Redick",3,1,2,6
"1383","Oklahoma City Thunder","Shai Gilgeous-Alexander",8,4,4,16
"1384","Oklahoma City Thunder","Luguentz Dort",8,1,3,12
"1385","Oklahoma City Thunder","Josh Hall",3,0,1,4
"1386","Toronto Raptors","Yuta Watanabe",0,1,4,5
"1387","New York Knicks","Austin Rivers",7,5,1,13
"1388","New York Knicks","Ignas Brazdeikis",0,0,1,1
"1389","Toronto Raptors","Aron Baynes",3,1,4,8
"1390","Toronto Raptors","Paul Watson",0,0,1,1
"1391","New York Knicks","Elfrid Payton",14,4,3,21
"1392","New York Knicks","Theo Pinson",0,0,1,1
"1393","New York Knicks","Nerlens Noel",6,0,6,12
"1394","Toronto Raptors","Norman Powell",17,1,4,22
"1395","Toronto Raptors","OG Anunoby",5,2,7,14
"1396","Toronto Raptors","Chris Boucher",9,2,9,20
"1397","New York Knicks","Kevin Knox II",16,1,6,23
"1398","New York Knicks","Mitchell Robinson",4,0,7,11
"1399","Toronto Raptors","Malachi Flynn",0,0,0,0
"1400","New York Knicks","Reggie Bullock",6,3,5,14
"1401","Toronto Raptors","Alex Len",11,0,2,13
"1402","New York Knicks","Julius Randle",16,5,10,31
"1403","New York Knicks","RJ Barrett",12,3,8,23
"1404","New York Knicks","Jared Harper",2,0,0,2
"1405","Toronto Raptors","Kyle Lowry",20,4,7,31
"1406","Toronto Raptors","Stanley Johnson",0,2,4,6
"1407","Toronto Raptors","Terence Davis",10,0,4,14
"1408","Toronto Raptors","Fred VanVleet",25,7,5,37
"1409","Toronto Raptors","DeAndre' Bembry",0,1,2,3
"1410","Houston Rockets","Eric Gordon",17,0,2,19
"1411","Houston Rockets","John Wall",22,9,6,37
"1412","Houston Rockets","Sterling Brown",6,1,1,8
"1413","Houston Rockets","Jae'Sean Tate",4,1,6,11
"1414","Houston Rockets","Danuel House Jr.",11,1,5,17
"1415","Sacramento Kings","Hassan Whiteside",0,0,0,0
"1416","Houston Rockets","James Harden",33,8,6,47
"1417","Houston Rockets","DeMarcus Cousins",8,3,1,12
"1418","Houston Rockets","Christian Wood",21,3,12,36
"1419","Sacramento Kings","Nemanja Bjelica",8,2,5,15
"1420","Sacramento Kings","Buddy Hield",19,5,3,27
"1421","Sacramento Kings","Cory Joseph",9,5,1,15
"1422","Sacramento Kings","Richaun Holmes",22,2,13,37
"1423","Sacramento Kings","De'Aaron Fox",22,6,5,33
"1424","Sacramento Kings","Harrison Barnes",24,1,8,33
"1425","Sacramento Kings","Marvin Bagley III",4,1,8,13
"1426","Sacramento Kings","Tyrese Haliburton",11,1,2,14
"1427","Houston Rockets","P.J. Tucker",0,0,6,6
"1428","Orlando Magic","Khem Birch",6,1,7,14
"1429","Orlando Magic","Dwayne Bacon",10,1,3,14
"1430","Orlando Magic","Gary Clark",3,0,2,5
"1431","Orlando Magic","Jordan Bone",4,1,2,7
"1432","Orlando Magic","Cole Anthony",16,2,7,25
"1433","Orlando Magic","Karim Mane",0,0,4,4
"1434","Philadelphia 76ers","Danny Green",3,0,0,3
"1435","Philadelphia 76ers","Tobias Harris",20,3,9,32
"1436","Philadelphia 76ers","Mike Scott",0,0,4,4
"1437","Philadelphia 76ers","Terrance Ferguson",0,0,1,1
"1438","Philadelphia 76ers","Shake Milton",14,6,4,24
"1439","Philadelphia 76ers","Seth Curry",21,3,1,25
"1440","Philadelphia 76ers","Dakota Mathias",0,0,1,1
"1441","Philadelphia 76ers","Isaiah Joe",0,0,2,2
"1442","Philadelphia 76ers","Dwight Howard",7,1,5,13
"1443","Philadelphia 76ers","Ben Simmons",9,8,10,27
"1444","Philadelphia 76ers","Joel Embiid",21,2,9,32
"1445","Philadelphia 76ers","Matisse Thybulle",9,0,4,13
"1446","Orlando Magic","Michael Carter-Williams",10,1,6,17
"1447","Orlando Magic","Aaron Gordon",6,1,3,10
"1448","Philadelphia 76ers","Vincent Poirier",2,0,2,4
"1449","Orlando Magic","Markelle Fultz",9,4,2,15
"1450","Philadelphia 76ers","Tyrese Maxey",10,0,2,12
"1451","Orlando Magic","Chuma Okeke",6,1,1,8
"1452","Orlando Magic","Nikola Vucevic",19,3,10,32
"1453","Orlando Magic","Evan Fournier",3,2,1,6
"1454","Chicago Bulls","Otto Porter Jr.",28,3,12,43
"1455","Chicago Bulls","Zach LaVine",22,7,6,35
"1456","Chicago Bulls","Wendell Carter Jr.",16,1,5,22
"1457","Chicago Bulls","Coby White",16,10,6,32
"1458","Chicago Bulls","Daniel Gafford",15,2,5,22
"1459","Washington Wizards","Russell Westbrook",22,11,10,43
"1460","Washington Wizards","Robin Lopez",0,0,1,1
"1461","Washington Wizards","Ish Smith",0,3,0,3
"1462","Washington Wizards","Davis Bertans",3,2,3,8
"1463","Washington Wizards","Moritz Wagner",5,0,2,7
"1464","Washington Wizards","Bradley Beal",28,3,4,35
"1465","Washington Wizards","Raul Neto",15,1,4,20
"1466","Washington Wizards","Thomas Bryant",28,0,3,31
